Qty-1,Part References,Value,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
2,"J1, J12",,282836-2,TE Connectivity,DK,A98076-ND,TERM BLOCK 2POS SIDE ENTRY 5MM,REF249
1,J13,,282836-3,TE Connectivity,DK,A98077-ND,TERM BLOCK 3POS SIDE ENTRY 5MM,REF250
1,D1,,LTST-C150EKT,Lite-On Inc.,DK,160-1168-1-ND,LED RED CLEAR 1206 SMD,REF254
3,"C2, C3, C6",0.1uF,06035C104K4Z4A,AVX Corporation,DK,478-10679-1-ND,CAP CER 0.1UF 50V X7R 0603,REF251
4,"C1, C4, C9, C10",1uF,GRT188R61H105KE13D,Murata Electronics North America,DK,490-12330-1-ND,1uF 50V Ceramic Capacitor X5R 0603,REF242
1,R3,2,ERJ-8BQF2R0V,Panasonic Electronic Components,DK,P17607CT-ND,RES SMD 2 OHM 1% 1/2W 1206,REF256
2,"R10, R12",4.99k,ERJ-3EKF4991V,Panasonic Electronic Components,DK,P4.99KHCT-ND,RES SMD 4.99K OHM 1% 1/10W 0603,REF247
1,R2,6.04k,ERJ-3EKF6041V,Panasonic Electronic Components,DK,P6.04KHCT-ND,RES SMD 6.04K OHM 1% 1/10W 0603,REF245
9,"R1, R4, R5, R6, R7, R8, R9, R11, R13",10k,ERJ-3EKF1002V,Panasonic Electronic Components,DK,P10.0KHCT-ND,RES SMD 10K OHM 1% 1/10W 0603,REF246
1,C5,10uF,F931D106MAA,AVX Corporation,DK,478-8275-1-ND,CAP TANT 10UF 20V 20% 1206,REF253
2,"C7, C8",100uF,CL32A107MPVNNNE,Samsung Electro-Mechanics America,DK,1276-3364-1-ND,CAP CER 100UF 10V X5R 1210,REF252
8,"J2, J3, J4, J5, J6, J7, J8, J9",455-1750-1-ND,PRPC003SAAN-RC,Sullins Connector Solutions,DK,S1011EC-03-ND,"CONN HEADER .100"""" SNGL STR 3POS",REF208
1,R14,475,ERJ-3EKF4750V,Panasonic Electronic Components,DK,P475HCT-ND,RES SMD 475 OHM 1% 1/10W 0603,REF248
1,U$1,ARDUINO_LEONARDO,A000057,Arduino,DK,1050-1040-ND,ARDUINO LEONARDO WITH HEADERS,REF255
1,U2,DMN2004DMK-7,DMN2004DMK-7,Diodes Incorporated,DK,DMN2004DMKDICT-ND,Mosfet Array 2 N-Channel (Dual) 20V 540mA 225mW Surface Mount ,REF241
1,U4,DMN2029USD-13,DMN2029USD-13,Diodes Incorporated,DK,DMN2029USD-13DICT-ND,Mosfet Array 2 N-Channel (Dual) 20V 5.8A 1.2W Surface Mount 8-SO,REF238
1,F1,FUSE,3568,Keystone Electronics,DK,36-3568-ND,Fuse Holder 30A 500V 1 Circuit Blade PCB,REF235
2,"J11, J10",I2C5V,PRPC004SAAN-RC,Sullins Connector Solutions,DK,S1011EC-04-ND,"CONN HEADER .100"""" SNGL STR 4POS",REF243
1,U1,LTC2947IUFE#PBF,LTC2947IUFE#PBF,Analog Devices Inc,DK,LTC2947IUFE#PBF-ND,Single Phase Meter IC 32-QFN (4x6),REF239
1,U3,NCV7805BDTRKG,NCV7805BDTRKG,ON Semiconductor,DK,NCV7805BDTRKGOSCT-ND,Linear Voltage Regulator IC Positive Fixed 1 Output 5V 1A DPAK,REF237
1,U6,RN4871,RN4871U-V/RM118,Microchip Technology,DK,RN4871U-V/RM118-ND,BLUETOOTH 4.2 BLE MODULE UNSHIE,REF240
1,U5,SNRVUD620CTT4G,SNRVUD620CTT4G,ON Semiconductor,DK,SNRVUD620CTT4GOSCT-ND,Diode Array 1 Pair Common Cathode Standard 200V 3A Surface Mount TO-252-3,REF236
